mac,hour_of_day,day_of_week,times_seen,lat,lon
14:87:6A:06:7D:1A,9,4,1,,
00:7C:2D:08:A1:78,9,4,1,,
98:42:65:BA:1A:7A,9,4,1,,
E2:1A:ED:F8:5E:D1,9,4,1,,
7E:4D:5D:83:C9:25,9,4,1,,
F6:49:96:86:05:56,9,4,1,,
06:50:6B:17:B9:C4,9,4,1,,
04:17:B6:72:7B:F6,9,4,1,,
2E:B0:85:95:05:95,9,4,1,,
B2:AA:95:9B:31:19,9,4,1,,
60:A4:B7:3E:94:12,9,4,1,,
BA:B9:5A:43:F8:75,9,4,1,,
62:AD:05:87:D9:D4,9,4,1,,
BC:30:D9:C6:6F:D0,9,4,1,,
D8:8C:79:4C:DC:C1,9,4,1,,
5C:AA:FD:93:E7:0E,9,4,1,,
22:AF:07:16:B1:BF,9,4,1,,
10:DA:43:89:F1:90,9,4,1,,
B8:8A:60:50:C4:59,9,4,1,,
00:06:C6:5E:7B:05,9,4,1,,
16:09:A8:47:0B:62,9,4,1,,
BA:4F:6D:DC:D9:0B,9,4,1,,
AA:11:C9:7F:F2:13,9,4,1,,
6C:5A:B0:08:21:36,9,4,1,,
08:DF:1F:0F:D6:71,9,4,1,,
5E:5D:3D:78:4A:41,9,4,1,,
AC:15:A2:3E:D1:8C,9,4,1,,
60:22:32:F2:B2:88,9,4,1,,
98:41:5C:1F:F8:B0,9,4,1,,
B0:99:D7:6B:14:F4,9,4,1,,
88:9F:6F:2D:45:B8,9,4,1,,
D6:61:4F:3D:2B:23,9,4,1,,
E0:B9:E5:B1:81:3E,9,4,1,,
54:60:09:91:BD:DA,9,4,1,,
90:0C:C8:E6:9D:64,9,4,1,,
98:84:E3:99:99:8E,9,4,1,,
D4:35:1D:A3:F9:29,9,4,1,,
70:3A:CB:91:28:B6,9,4,1,,
EA:3A:BC:4D:7D:A7,9,4,1,,
02:0C:D5:40:40:D2,9,4,1,,
60:AB:D2:FC:12:A7,9,4,1,,
5C:AA:FD:10:2E:7D,9,4,1,,
AC:D1:B8:33:AA:D4,9,4,1,,
36:CB:23:2E:DE:94,9,4,1,,
2E:6E:9E:05:34:D8,9,4,1,,
F0:70:4F:49:EC:48,9,4,1,,
16:91:82:07:94:E8,9,4,1,,
72:E5:A5:93:B6:7D,9,4,1,,
BE:5E:B2:56:7E:7E,9,4,1,,
1A:9C:21:77:E5:20,9,4,1,,
46:A5:71:1D:CD:7E,9,4,1,,
E6:ED:6A:7F:5B:6A,9,4,1,,
66:7E:96:89:F8:ED,9,4,1,,
BE:2D:BD:B6:36:57,9,4,1,,
92:2A:A8:98:5C:A0,9,4,1,,
48:A6:B8:B1:21:20,9,4,1,,
D0:21:F9:2B:5F:40,9,4,1,,
3E:54:F1:F4:71:1C,9,4,1,,
44:34:A7:FB:E9:8D,9,4,1,,
B4:B0:24:B0:9F:88,9,4,1,,
B4:B0:24:B0:A1:E0,9,4,1,,
F8:B9:5A:DF:F5:30,9,4,1,,
5C:B1:3E:7C:4F:DD,9,4,1,,
DE:CB:AC:4A:14:13,9,4,1,,
08:94:EF:3C:B3:3A,9,4,1,,
E6:F1:88:0D:03:43,9,4,1,,
E2:6E:E1:05:1D:4D,9,4,1,,
56:08:D3:E7:4A:6D,9,4,1,,
6A:4C:86:D1:12:5B,9,4,2,,
6A:11:2E:53:2B:F6,9,4,1,,
7C:21:4A:D7:F8:F7,9,4,1,,
F8:E4:E3:9D:A1:07,9,4,1,,
3A:E1:AF:92:F2:9E,9,4,1,,
96:82:71:5D:06:95,9,4,1,,
82:B7:B5:05:4C:EC,9,4,1,,
36:43:EF:13:D0:F3,9,4,1,,
C2:0D:33:CB:BE:2A,9,4,1,,
